ticker,year,value,source,source_url,retrieved,note
SWKS,2023,0.477,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"10 recordable cases (5 days-away, 4 restricted) / 4194792 hours at 11 establishments, 2200 avg employees; matched by ein 8, sec name 1, ex-21 subsidiary 2; sites listed in social/raw/osha_establishments.csv"
SWKS,2024,0.593,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"15 recordable cases (2 days-away, 10 restricted) / 5055564 hours at 12 establishments, 2471 avg employees; matched by ein 9, sec name 2, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
SYK,2022,0.816,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"114 recordable cases (26 days-away, 27 restricted) / 27928976 hours at 66 establishments, 14098 avg employees; matched by ein 0, sec name 43, ex-21 subsidiary 23; sites listed in social/raw/osha_establishments.csv"
SYK,2023,0.848,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"138 recordable cases (36 days-away, 22 restricted) / 32555374 hours at 70 establishments, 16720 avg employees; matched by ein 0, sec name 47, ex-21 subsidiary 23; sites listed in social/raw/osha_establishments.csv"
SYK,2024,1.052,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"113 recordable cases (40 days-away, 11 restricted) / 21481752 hours at 63 establishments, 10719 avg employees; matched by ein 0, sec name 46, ex-21 subsidiary 17; sites listed in social/raw/osha_establishments.csv"
SYY,2022,8.689,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"2938 recordable cases (1495 days-away, 1015 restricted) / 67624821 hours at 102 establishments, 32836 avg employees; matched by ein 1, sec name 29, ex-21 subsidiary 72; sites listed in social/raw/osha_establishments.csv"
SYY,2023,9.609,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"2701 recordable cases (1488 days-away, 882 restricted) / 56218298 hours at 92 establishments, 27796 avg employees; matched by ein 2, sec name 30, ex-21 subsidiary 60; sites listed in social/raw/osha_establishments.csv"
SYY,2024,7.039,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"2029 recordable cases (1171 days-away, 570 restricted) / 57646768 hours at 88 establishments, 27260 avg employees; matched by ein 7, sec name 27, ex-21 subsidiary 54; sites listed in social/raw/osha_establishments.csv"
T,2022,0.198,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"57 recordable cases (34 days-away, 9 restricted) / 57543605 hours at 50 establishments, 36310 avg employees; matched by ein 0, sec name 1, ex-21 subsidiary 49; sites listed in social/raw/osha_establishments.csv"
TAP,2022,1.262,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"54 recordable cases (20 days-away, 22 restricted) / 8559377 hours at 10 establishments, 4084 avg employees; matched by ein 0, sec name 4, ex-21 subsidiary 6; sites listed in social/raw/osha_establishments.csv"
