tag,year,cik,start,end,val,accn,url
Revenues,2019,91440,2018-12-30,2019-12-28,4067700000,0000091440-22-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,91576,2019-01-01,2019-12-31,6400000000,0000091576-22-000029,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,92122,2019-01-01,2019-12-31,21419000000,0000092122-22-000003,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,93410,2019-01-01,2019-12-31,146516000000,0000093410-22-000019,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,93556,2018-12-30,2019-12-28,12912900000,0000093556-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,93751,2019-01-01,2019-12-31,11756000000,0000093751-22-000424,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,97210,2019-01-01,2019-12-31,2294965000,0001193125-22-049828,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,100493,2018-09-30,2019-09-28,42405000000,0000100493-21-000122,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,100885,2019-01-01,2019-12-31,21708000000,0000100885-21-000068,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,101829,2019-01-01,2019-12-31,45349000000,0000101829-22-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,104169,2019-02-01,2020-01-31,523964000000,0000104169-22-000012,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,105634,2019-01-01,2019-12-31,9174611000,0000105634-22-000006,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,105770,2019-01-01,2019-12-31,1839900000,0001628280-22-003342,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,106535,2019-01-01,2019-12-31,6554000000,0001564590-22-005707,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,107263,2019-01-01,2019-12-31,8201000000,0000107263-22-000016,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,217346,2018-12-30,2020-01-04,13630000000,0000217346-22-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,310158,2019-01-01,2019-12-31,39121000000,0000310158-22-000003,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,310764,2019-01-01,2019-12-31,14884000000,0000310764-22-000028,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,315189,2018-10-29,2019-11-03,39258000000,0001558370-21-016864,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,316709,2019-01-01,2019-12-31,10721000000,0000316709-22-000009,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,318154,2019-01-01,2019-12-31,23362000000,0000318154-21-000010,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,320335,2019-01-01,2019-12-31,4527532000,0000320335-22-000006,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,352541,2019-01-01,2019-12-31,3648000000,0000352541-22-000020,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
