year,facility_id,parent_company_raw,owner_segment,share,facility_co2e_tonnes,ticker,attributed_co2e_tonnes
2018,1000839,BUCKEYE POWER CO (67.2%); AMERICAN ELECTRIC POWER (32.8%),AMERICAN ELECTRIC POWER,0.32799999999999996,9479141.046,AEP,3109158.2630879995
2018,1000841,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,4984332.166,VST,4984332.166
2018,1000845,AMERICAN ELECTRIC POWER (92.61%); THE DAYTON POWER & LIGHT CO (7.39%),AMERICAN ELECTRIC POWER,0.9261,4285147.714000001,AEP,3968475.2979354006
2018,1000845,AMERICAN ELECTRIC POWER (92.61%); THE DAYTON POWER & LIGHT CO (7.39%),THE DAYTON POWER & LIGHT CO,0.0739,4285147.714000001,AES,316672.4160646
2018,1000849,"Dynegy, Stuart, LLC (39%); AES Ohio Generation, LLC (35%); AEP GENERATION RESOURCES INC (26%)","AES Ohio Generation, LLC",0.35,2046292.354,AES,716202.3239
2018,1000849,"Dynegy, Stuart, LLC (39%); AES Ohio Generation, LLC (35%); AEP GENERATION RESOURCES INC (26%)",AEP GENERATION RESOURCES INC,0.26,2046292.354,AEP,532036.0120400001
2018,1000853,OHIO VALLEY ELECTRIC CORP (100%),OHIO VALLEY ELECTRIC CORP,1.0,5960272.152,AEP,5960272.152
2018,1000862,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,3832350.8740000003,AEP,3832350.8740000003
2018,1000863,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,420185.692,AEP,420185.692
2018,1000864,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,306720.46400000004,AEP,306720.46400000004
2018,1000869,KIMBERLY-CLARK CORP (100%),KIMBERLY-CLARK CORP,1.0,359748.01,KMB,359748.01
2018,1000877,UGI CORP (5.97%); ARCLIGHT CAPITAL PARTNERS LLC (35.11%); Bowfin KeyCon Power LLC (3.72%); PUBLIC SERVICE ENTERPRISE GROUP INC (22.5%); KeyCon Power Holdings LLC (16.45%); TALEN ENERGY CORP (16.25%),PUBLIC SERVICE ENTERPRISE GROUP INC,0.225,10726754.891999999,PEG,2413519.8507
2018,1000883,ARCLIGHT CAPITAL PARTNERS LLC (44.45%); Bowfin KeyCon Power LLC (3.7%); PUBLIC SERVICE ENTERPRISE GROUP INC (22.84%); KeyCon Power Holdings LLC (16.67%); TALEN ENERGY CORP (12.34%),PUBLIC SERVICE ENTERPRISE GROUP INC,0.2284,11596708.204,PEG,2648688.1537936
2018,1000898,EXELON CORP (100%),EXELON CORP,1.0,52294.0,EXC,52294.0
2018,1000900,EXELON CORP (100%),EXELON CORP,1.0,1120.282,EXC,1120.282
2018,1000906,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,188542.718,DUK,188542.718
2018,1000908,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,1404438.784,DUK,1404438.784
2018,1000928,ENTERGY CORP (100%),ENTERGY CORP,1.0,1171551.2519999999,ETR,1171551.2519999999
2018,1000929,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,856114.628,NRG,856114.628
2018,1000932,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,0.0,NRG,0.0
2018,1000934,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,98356.484,AEP,98356.484
2018,1000935,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,4648.831999999999,AEP,4648.831999999999
2018,1000936,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,367855.736,AEP,367855.736
2018,1000937,XCEL ENERGY (100%),XCEL ENERGY,1.0,1396732.34,XEL,1396732.34
2018,1000939,XCEL ENERGY (100%),XCEL ENERGY,1.0,551680.956,XEL,551680.956
2018,1000941,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,83464.14,VST,83464.14
2018,1000942,EXELON CORP (100%),EXELON CORP,1.0,498198.294,EXC,498198.294
2018,1000947,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,33693.276000000005,VST,33693.276000000005
2018,1000963,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,8901.768,D,8901.768
2018,1000964,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,3150885.48,D,3150885.48
2018,1000966,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,1505364.95,D,1505364.95
2018,1000967,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,12539879.086,AEP,12539879.086
