case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
06-2024-3354,2024,ConocoPhillips,0001163165,name,1,490000.0,490000.0
05-2015-5069,2021,STEEL DYNAMICS,0001022671,name,1,475000.0,475000.0
05-2012-5016,2019,CONOCOPHILLIPS COMPANY,0001163165,name,1,475000.0,475000.0
06-2023-3408,2023,The Williams Companies Inc,0000107263,name,2,877575.0,438787.5
EF-2016-8260,2016,Houston Refining LP,0001489393,subsidiary,1,434500.0,434500.0
05-2017-5012,2016,STEEL DYNAMICS,0001022671,name,1,432554.0,432554.0
06-2025-3303,2025,EOG Resources Inc,0000821189,name,1,412500.0,412500.0
06-2017-3329,2017,Rohm and Haas Texas Incorporated,0001751788,subsidiary,1,400000.0,400000.0
09-2018-1517,2021,Parker Hannifin Corporation,0000076334,name,1,390000.0,390000.0
05-2017-5033,2017,FORD MOTOR COMPANY,0000037996,name,1,389000.0,389000.0
EF-2010-0006,2016,"Tractor Supply Company, Inc.",0000916365,name,2,775000.0,387500.0
10-2024-0232,2024,PARKER HANNIFIN,0000076334,name,1,366000.0,366000.0
01-2018-2020,2018,Bath Iron Works,0000040533,subsidiary,1,355000.0,355000.0
05-2017-9930,2022,"Summit, Inc.",0000823768,subsidiary,1,350954.27,350954.27
06-2020-0303,2020,"Walmart, Inc.",0000104169,name,1,350000.0,350000.0
06-2023-3303,2023,International Paper Company,0000051434,name,1,344250.0,344250.0
HQ-2023-5008,2023,Ultium Cells LLC,0001467858,subsidiary,2,654150.0,327075.0
05-2021-5002,2022,EQUISTAR CHEMICALS,0001489393,subsidiary,1,324000.0,324000.0
03-2025-0062,2025,NORFOLK SOUTHERN RAILWAY COMPANY,0000702165,subsidiary,1,299000.0,299000.0
HQ-2025-0002,2025,Phillips 66 Company,0001534701,name,1,292595.0,292595.0
06-2022-0937,2022,"Home Depot U.S.A, Inc",0000354950,subsidiary,1,285363.43,285363.43
05-2016-0040,2016,GOJO INDUSTRIES,0000021076,subsidiary,1,282000.0,282000.0
06-2021-3357,2021,EQUISTAR CHEMICALS LP,0001489393,subsidiary,1,275000.0,275000.0
06-2024-0936,2024,The Sherwin-Williams Company,0000089800,name,1,270000.0,270000.0
06-2024-3347,2024,"MARATHON OIL PERMIAN, LLC",0001163165,subsidiary,1,265000.0,265000.0
05-2014-9904,2016,"SUMMIT, INC.",0000823768,subsidiary,1,263375.0,263375.0
06-2018-3317,2019,Dow Chemical Company,0001751788,subsidiary,1,260349.0,260349.0
08-2018-0048,2018,Kinder Morgan,0001506307,name,1,250000.0,250000.0
03-2020-0024,2020,"SUPERIOR CONCRETE MATERIALS, INC.",0001396009,subsidiary,1,250000.0,250000.0
05-2016-5054,2019,FILMTEC,0001666700,subsidiary,1,250000.0,250000.0
06-2025-0967,2025,Norwegian Cruise Line Ltd,0001513761,name,1,250000.0,250000.0
04-2012-9017,2016,"CENTRAL FLORIDA PIPELINE, LLC",0001506307,subsidiary,2,492000.0,246000.0
06-2024-0504,2024,TARGA DOWNSTREAM LLC,0001389170,subsidiary,1,236000.0,236000.0
05-2024-5063,2024,MARATHON PETROLEUM COMPANY LP,0001510295,name,1,225715.0,225715.0
05-2015-5063,2018,MARKWEST ENERGY PARTNERS,0001510295,subsidiary,1,225000.0,225000.0
08-2019-0033,2019,Targa Resources,0001389170,name,1,220000.0,220000.0
06-2025-0925,2025,"Chemical Waste Management , Inc",0000823768,subsidiary,1,217333.0,217333.0
04-2024-4009,2025,THE SHERWIN WILLIAMS COMPANY,0000089800,name,1,213750.0,213750.0
04-2025-6001,2024,ALBEMARLE CORPORATION,0000915913,name,1,212480.0,212480.0
04-2023-0702,2023,"PENTAIR AQUATIC ECO-SYSTEMS, INC",0000077360,subsidiary,1,206600.0,206600.0
04-2014-9006,2024,"D.R. HORTON, INC.",0000882184,name,2,400000.0,200000.0
06-2021-3361,2021,DIAMONDBACK E&P LLC,0001539838,subsidiary,1,197691.99,197691.99
06-2024-3329,2025,The Sherwin-Williams Company,0000089800,name,1,195686.99,195686.99
10-2025-0185,2025,BNSF RAILWAY COMPANY,0001067983,subsidiary,1,191000.0,191000.0
06-2017-0941,2017,"Alere Toxicology Services, Inc.",0000001800,subsidiary,1,186225.6,186225.6
06-2017-3343,2017,Valero Energy Corp,0001035002,name,1,182000.0,182000.0
10-2021-0203,2021,"ECOLAB, INC",0000031462,name,1,180000.0,180000.0
08-2015-0139,2018,KINDER MORGAN INC,0001506307,name,1,179099.0,179099.0
05-2018-5017,2018,LEICA BIOSYSTEMS RICHMOND,0000313616,subsidiary,1,174856.0,174856.0
04-2003-9001,2016,LOCKHEED MARTIN CORPORATION,0000936468,name,6,1000000.0,166666.66666666666
06-2024-3352,2024,Chevron U.S.A. Inc,0000093410,subsidiary,1,165000.0,165000.0
05-2019-5046,2019,AVERY DENNISON,0000008818,name,1,160000.0,160000.0
05-2024-5078,2024,SHERWIN-WILLIAMS COMPANY,0000089800,name,1,154000.0,154000.0
05-2016-7353,2016,"PDC Energy, Inc.",0000093410,subsidiary,1,151187.0,151187.0
01-2022-1032,2022,Barber Foods LLC,0000100493,subsidiary,1,151000.0,151000.0
07-2025-0221,2025,"Tyson Fresh Meats, Inc.",0000100493,subsidiary,1,150668.0,150668.0
01-2022-1031,2022,Barber Foods LLC,0000100493,subsidiary,1,149000.0,149000.0
09-2022-7083,2022,"Transchem, Inc",0000029905,subsidiary,1,147617.0,147617.0
09-2019-0072,2019,The Coca-Cola Company,0000021344,name,1,145000.0,145000.0
04-2022-2107,2022,THE SHERWIN-WILLIAMS CO.,0000089800,name,1,145000.0,145000.0
05-2019-7523,2019,"GENERAL MILLS, INC.",0000040704,name,1,143070.0,143070.0
06-2023-0567,2023,Tulsa Winch Inc.,0000029905,subsidiary,1,143000.0,143000.0
10-2021-0193,2021,ON SEMICONDUCTOR,0001097864,name,1,143000.0,143000.0
