ticker,year,co2e_tonnes,revenue_usd,raw_ratio
AXON,2018,0.0,420068000.0,0.0
AXON,2019,0.0,530860000.0,0.0
AXON,2020,0.0,681003000.0,0.0
AXON,2021,0.0,865638000.0,0.0
AXON,2022,0.0,1187143000.0,0.0
AXON,2023,0.0,1560699000.0,0.0
AXP,2018,0.0,26607000000.0,0.0
AXP,2019,0.0,28159000000.0,0.0
AXP,2020,0.0,21974000000.0,0.0
AXP,2021,0.0,27716000000.0,0.0
AXP,2022,0.0,34219000000.0,0.0
AXP,2023,0.0,37218000000.0,0.0
AZO,2018,0.0,11221077000.0,0.0
AZO,2019,0.0,11863743000.0,0.0
AZO,2020,0.0,12631967000.0,0.0
AZO,2021,0.0,14629585000.0,0.0
AZO,2022,0.0,16252230000.0,0.0
AZO,2023,0.0,17457209000.0,0.0
BA,2018,270355.808,101127000000.0,2.673428540350253
BA,2019,289891.692,76559000000.0,3.786513564701733
BA,2020,251003.234,58158000000.0,4.3158848997558374
BA,2021,255711.49800000002,62286000000.0,4.105440997977074
BA,2022,261154.712,66608000000.0,3.92077095844343
BA,2023,252143.44199999998,77794000000.0,3.2411682391958245
BAC,2018,0.0,91020000000.0,0.0
BAC,2019,0.0,91244000000.0,0.0
BAC,2020,0.0,85528000000.0,0.0
BAC,2021,0.0,89113000000.0,0.0
BAC,2022,0.0,94950000000.0,0.0
BAC,2023,0.0,102769000000.0,0.0
BALL,2018,0.0,11635000000.0,0.0
BALL,2019,0.0,11474000000.0,0.0
BALL,2020,0.0,11781000000.0,0.0
BALL,2021,0.0,13811000000.0,0.0
BALL,2022,0.0,13372000000.0,0.0
BALL,2023,0.0,12062000000.0,0.0
BAX,2018,0.0,11099000000.0,0.0
BAX,2019,0.0,11362000000.0,0.0
BAX,2020,0.0,11673000000.0,0.0
BAX,2021,0.0,12146000000.0,0.0
BAX,2022,39606.0,10057000000.0,3.9381525305757186
BAX,2023,43203.836,10360000000.0,4.170254440154441
BBY,2018,0.0,42879000000.0,0.0
BBY,2019,0.0,43638000000.0,0.0
BBY,2020,0.0,47262000000.0,0.0
BBY,2021,0.0,51761000000.0,0.0
BBY,2022,0.0,46298000000.0,0.0
BBY,2023,0.0,43452000000.0,0.0
BDX,2018,0.0,15983000000.0,0.0
BDX,2019,0.0,17290000000.0,0.0
BDX,2020,0.0,16074000000.0,0.0
BDX,2021,0.0,19131000000.0,0.0
BDX,2022,0.0,18870000000.0,0.0
BDX,2023,0.0,19372000000.0,0.0
BEN,2018,0.0,6204500000.0,0.0
BEN,2019,0.0,5774500000.0,0.0
BEN,2020,0.0,5566500000.0,0.0
BEN,2021,0.0,8425500000.0,0.0
BEN,2022,0.0,8275300000.0,0.0
BEN,2023,0.0,7849400000.0,0.0
BF.B,2018,112424.51199999999,3324000000.0,33.82205535499398
BF.B,2019,121783.248,4306000000.0,28.28222201579192
BF.B,2020,107664.948,4526000000.0,23.78810163499779
BF.B,2021,78935.54400000001,5081000000.0,15.535434756937612
BF.B,2022,94436.99200000001,5372000000.0,17.57948473566642
BF.B,2023,90072.76,5328000000.0,16.905548048048047
BG,2021,558239.5,59152000000.0,9.437373208006491
BG,2022,578866.108,67232000000.0,8.609978998096144
BG,2023,564616.524,59540000000.0,9.48297823312059
BIIB,2018,30257.787999999997,13452900000.0,2.24916471541452
BIIB,2019,29570.338,14377900000.0,2.0566520841012945
BIIB,2020,27100.996,13444600000.0,2.0157532392187196
BIIB,2021,29388.44,10981700000.0,2.6761284682699396
BIIB,2022,29755.04,10173400000.0,2.9247881730788134
BIIB,2023,28268.192,9835600000.0,2.8740688925942495
BKNG,2018,0.0,14527000000.0,0.0
BKNG,2019,0.0,15066000000.0,0.0
BKNG,2020,0.0,6796000000.0,0.0
BKNG,2021,0.0,10958000000.0,0.0
BKNG,2022,0.0,17090000000.0,0.0
BKNG,2023,0.0,21365000000.0,0.0
BKR,2018,0.0,22877000000.0,0.0
BKR,2019,0.0,23838000000.0,0.0
BKR,2020,0.0,20705000000.0,0.0
BKR,2021,0.0,20502000000.0,0.0
BKR,2022,0.0,21156000000.0,0.0
BKR,2023,0.0,25506000000.0,0.0
BLDR,2018,0.0,7724771000.0,0.0
BLDR,2019,0.0,7280431000.0,0.0
BLDR,2020,0.0,8558874000.0,0.0
BLDR,2021,0.0,19893856000.0,0.0
BLDR,2022,0.0,22726418000.0,0.0
BLDR,2023,0.0,17097330000.0,0.0
BLK,2022,246869.93898,17873000000.0,13.812451126279864
BLK,2023,187749.8994,17859000000.0,10.512901024693432
BMY,2018,110217.16,22561000000.0,4.885295864545012
BMY,2019,84259.166,26145000000.0,3.2227640466628418
BMY,2020,83474.864,42518000000.0,1.9632829389905453
BMY,2021,90192.85800000001,46385000000.0,1.9444401854047646
BMY,2022,91669.248,46159000000.0,1.9859452761108345
BMY,2023,95102.73999999999,45006000000.0,2.11311247389237
BNY,2018,0.0,16392000000.0,0.0
BNY,2019,0.0,16462000000.0,0.0
BNY,2020,0.0,15808000000.0,0.0
BNY,2021,0.0,15931000000.0,0.0
BNY,2022,0.0,16529000000.0,0.0
BNY,2023,0.0,17697000000.0,0.0
BR,2018,0.0,4329900000.0,0.0
BR,2019,0.0,4362200000.0,0.0
BR,2020,0.0,4529000000.0,0.0
BR,2021,0.0,4993700000.0,0.0
BR,2022,0.0,5709100000.0,0.0
BR,2023,0.0,6060900000.0,0.0
BRK.B,2018,55507668.0120466,175445000000.0,316.38215971983584
