ticker,data_status,n_committees,committee_ids,n_transactions,unresolved_cycles,evidence
FAST,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FCX,downloaded,1,C00320101,240,,"1 matched committee(s), 240 transactions"
FDS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FDX,downloaded,1,C00068692,4726,,"1 matched committee(s), 4726 transactions"
FDXF,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FE,downloaded,1,C00140855,1009,,"1 matched committee(s), 1009 transactions"
FERG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FFIV,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FICO,downloaded,1,C00792127,187,,"1 matched committee(s), 187 transactions"
FIS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FISV,downloaded,1,C00378166,1,2020|2022|2024|2026,"1 matched committee(s), 1 transactions; no matched committee registered in cycle(s) 2020/2022/2024/2026 while another same-named committee is - those years are dropped"
FITB,downloaded,3,C00290502|C00393173|C00817395,1527,,"3 matched committee(s), 1527 transactions"
FIX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FLEX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FOX,downloaded,2,C00330019|C00693002,1188,2016,"2 matched committee(s), 1188 transactions; no matched committee registered in cycle(s) 2016 while another same-named committee is - those years are dropped"
FOXA,downloaded,2,C00330019|C00693002,1188,2016,"2 matched committee(s), 1188 transactions; no matched committee registered in cycle(s) 2016 while another same-named committee is - those years are dropped"
FRT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FSLR,downloaded,1,C00489534,101,,"1 matched committee(s), 101 transactions"
FTNT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
FTV,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
GD,downloaded,1,C00078451,7754,,"1 matched committee(s), 7754 transactions"
GDDY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
GE,downloaded,2,C00024869|C00492223,5695,,"2 matched committee(s), 5695 transactions"
GEHC,downloaded,1,C00830208,399,,"1 matched committee(s), 399 transactions"
GEN,downloaded,1,C00394031,147,,"1 matched committee(s), 147 transactions"
GEV,downloaded,1,C00861161,109,,"1 matched committee(s), 109 transactions"
GILD,downloaded,1,C00396895,1018,,"1 matched committee(s), 1018 transactions"
GIS,downloaded,1,C00062646,509,,"1 matched committee(s), 509 transactions"
GL,downloaded,1,C00167460,115,,"1 matched committee(s), 115 transactions"
GLW,downloaded,1,C00033589,1035,,"1 matched committee(s), 1035 transactions"
GM,downloaded,1,C00076810,4525,,"1 matched committee(s), 4525 transactions"
GNRC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
GOOG,unresolved,0,,0,,FEC committee master has: alphabet; google netpac
GOOGL,unresolved,0,,0,,FEC committee master has: alphabet; google netpac
GPC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
GPN,downloaded,2,C00441980|C00863670,258,,"2 matched committee(s), 258 transactions"
GRMN,downloaded,1,C00660894,223,,"1 matched committee(s), 223 transactions"
GS,downloaded,1,C00350744,2949,,"1 matched committee(s), 2949 transactions"
GWW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
HAL,downloaded,1,C00035691,865,,"1 matched committee(s), 865 transactions"
HAS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
HBAN,downloaded,1,C00165589,1291,,"1 matched committee(s), 1291 transactions"
HCA,downloaded,1,C00067231,847,,"1 matched committee(s), 847 transactions"
HD,downloaded,1,C00284885,5421,,"1 matched committee(s), 5421 transactions"
HIG,downloaded,2,C00168864|C00511444,1269,,"2 matched committee(s), 1269 transactions"
HII,downloaded,2,C00325092|C00364851,3303,,"2 matched committee(s), 3303 transactions"
HLT,downloaded,1,C00213074,496,,"1 matched committee(s), 496 transactions"
HON,downloaded,2,C00096156|C00895235,10127,,"2 matched committee(s), 10127 transactions"
HONA,unresolved,0,,0,,FEC committee master has: honeywell aerospace us; honeywell aerospace us public affairs council hona pac
HOOD,downloaded,1,C00780304,107,,"1 matched committee(s), 107 transactions"
HPE,downloaded,1,C00196725,1159,,"1 matched committee(s), 1159 transactions"
HPQ,downloaded,1,C00626648,104,2024|2026,"1 matched committee(s), 104 transactions; no matched committee registered in cycle(s) 2024/2026 while another same-named committee is - those years are dropped"
HRL,unresolved,0,,0,,FEC committee master has: hormel foods; hormel foods pac aka hormel pac
HSIC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
HST,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
HSY,downloaded,1,C00200139,229,,"1 matched committee(s), 229 transactions"
HUBB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
HUM,downloaded,1,C00271007,2274,,"1 matched committee(s), 2274 transactions"
HWM,downloaded,3,C00501106|C00552679|C00728030,575,,"3 matched committee(s), 575 transactions"
IBKR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
IBM,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ICE,downloaded,1,C00443168,462,,"1 matched committee(s), 462 transactions"
IDXX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
IEX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
IFF,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
INCY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
INTC,downloaded,1,C00125641,2025,,"1 matched committee(s), 2025 transactions"
INTU,downloaded,1,C00361741,307,,"1 matched committee(s), 307 transactions"
INVH,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
IP,downloaded,2,C00034405|C00789602,2460,,"2 matched committee(s), 2460 transactions"
IQV,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
IR,unresolved,0,,0,,FEC committee master has: ingersoll rand; ingersoll rand political action committee; trane technologies
IRM,downloaded,1,C00523936,445,,"1 matched committee(s), 445 transactions"
ISRG,downloaded,1,C00462622,4,,"1 matched committee(s), 4 transactions"
IT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ITW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
IVZ,downloaded,1,C00253369,863,,"1 matched committee(s), 863 transactions"
J,downloaded,1,C00142299,897,,"1 matched committee(s), 897 transactions"
JBHT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
JBL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
JCI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
JKHY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
JNJ,downloaded,1,C00010983,2646,,"1 matched committee(s), 2646 transactions"
JPM,downloaded,2,C00104299|C00128512,3054,,"2 matched committee(s), 3054 transactions"
KDP,downloaded,1,C00484451,206,,"1 matched committee(s), 206 transactions"
KEY,downloaded,2,C00073155|C00399063,467,,"2 matched committee(s), 467 transactions"
KEYS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
KHC,downloaded,2,C00077701|C00336040,557,,"2 matched committee(s), 557 transactions"
KIM,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
KKR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
KLAC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
KMB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
KMI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
KO,downloaded,1,C00012468,1418,,"1 matched committee(s), 1418 transactions"
KR,downloaded,1,C00059238,640,,"1 matched committee(s), 640 transactions"
KVUE,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
L,downloaded,1,C00416495,234,,"1 matched committee(s), 234 transactions"
LDOS,downloaded,1,C00546234,3195,,"1 matched committee(s), 3195 transactions"
LEN,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
LH,downloaded,1,C00314997,618,,"1 matched committee(s), 618 transactions"
LHX,downloaded,3,C00100321|C00129122|C00141002,3801,,"3 matched committee(s), 3801 transactions"
LII,unresolved,0,,0,,FEC committee master has: lennox employee advocacy program lennox international; lennox international; none
LIN,downloaded,2,C00283440|C00471193,250,,"2 matched committee(s), 250 transactions"
LITE,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
LLY,downloaded,1,C00082792,2504,,"1 matched committee(s), 2504 transactions"
LMT,downloaded,1,C00303024,11852,,"1 matched committee(s), 11852 transactions"
LNT,downloaded,1,C00132092,426,,"1 matched committee(s), 426 transactions"
LOW,downloaded,1,C00251751,1794,,"1 matched committee(s), 1794 transactions"
LRCX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
LULU,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
LUV,downloaded,1,C00341602,960,,"1 matched committee(s), 960 transactions"
LVS,downloaded,1,C00399642,108,,"1 matched committee(s), 108 transactions"
LYB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
LYV,unresolved,0,,0,,FEC committee master has: live nation entertainment; live nation entertainment political action committee live nation pac
MA,downloaded,1,C00410274,1192,,"1 matched committee(s), 1192 transactions"
